"","案件","縣市","地區","同意票數","不同意票數","有效票數","無效票數","投票數","投票權人數","投票率...","有效同意票數對投票權人數百分比...","有效不同意票數對投票權人數百分比...","有效同意與不同意票數對投票權人數百分比...差值","不同意票數對票數比率","縣市首長得票率","縣市首長得票數","公投不同意率對縣市首長得票率差距"
"286","第13案","新北市","新店區","53,250","91,275","144,525","5,978","150,503","264,053","57%","20.17%","34.57%",-14.4,0.6316,0.6873,109759,-0.0557
"287","第13案","新北市","樹林區","38,133","42,649","80,782","4,017","84,799","152,102","55.75%","25.07%","28.04%",-2.97,0.528,0.5413,49090,-0.0133
"288","第13案","新北市","鶯歌區","17,470","19,181","36,651","1,688","38,339","71,645","53.51%","24.38%","26.77%",-2.39,0.5233,0.5349,23419,-0.0116000000000001
"289","第13案","新北市","三峽區","21,638","26,238","47,876","2,325","50,201","94,291","53.24%","22.95%","27.83%",-4.88,0.548,0.5736,31822,-0.0256
"290","第13案","新北市","淡水區","31,732","43,633","75,365","3,072","78,437","147,272","53.26%","21.55%","29.63%",-8.08,0.579,0.6033,51336,-0.0243
"291","第13案","新北市","汐止區","37,770","50,984","88,754","3,901","92,655","173,831","53.3%","21.73%","29.33%",-7.6,0.5744,0.6128,61139,-0.0384
"292","第13案","新北市","瑞芳區","7,444","8,779","16,223","1,049","17,272","35,036","49.3%","21.25%","25.06%",-3.81,0.5411,0.6249,13393,-0.0838
"293","第13案","新北市","土城區","48,850","56,610","105,460","5,222","110,682","200,783","55.13%","24.33%","28.19%",-3.86,0.5368,0.5615,66487,-0.0246999999999999
"294","第13案","新北市","蘆洲區","42,796","42,780","85,576","4,485","90,061","167,457","53.78%","25.56%","25.55%",0.01,0.4999,0.4944,47271,0.00550000000000006
"295","第13案","新北市","五股區","18,149","18,856","37,005","1,981","38,986","72,443","53.82%","25.05%","26.03%",-0.98,0.5096,0.5223,22276,-0.0126999999999999
"296","第13案","新北市","泰山區","15,601","18,739","34,340","1,473","35,813","64,252","55.74%","24.28%","29.16%",-4.88,0.5457,0.5423,20885,0.00339999999999996
