"","countryname","townname","ref7","ref8","ref9","ref10","ref11","ref12","ref13","ref14","ref15","ref16","vot","rate","party","V16","V17"
"13","宜蘭縣","三星鄉",0.774758123867045,0.753716483007454,0.74986407516587,0.732295826413147,0.688759928382812,0.593504681107042,0.544980442370317,0.315129835043355,0.336855599748013,0.575456899253817,47.48,0.46762289044714,"中國國民黨",0.774758123867045,"ref7"
"14","新北市","三重區",0.764678966064613,0.739184973660996,0.756107065436834,0.693251782814268,0.642822045040702,0.585105197661068,0.507873445861288,0.363244748960269,0.375050102052398,0.569282546137679,50.22,0.448529960342135,"民主進步黨",0.764678966064613,"ref7"
"15","新北市","三峽區",0.780352672367013,0.76645381778839,0.772478033298964,0.725819588320072,0.664070660008983,0.599658730321074,0.461241447421127,0.331620298116046,0.344924255427469,0.583375260652479,57.36,0.478220633390818,"中國國民黨",0.780352672367013,"ref7"
"16","苗栗縣","三義鄉",0.824540910970104,0.795187039978167,0.803418842536948,0.785571168521924,0.712436250456373,0.611640544662933,0.344308243788133,0.253303050712346,0.280814061123883,0.582141103365189,59.08,0.561926332582125,"中國國民黨",0.824540910970104,"ref7"
"17","苗栗縣","三灣鄉",0.793285640364933,0.766858885248236,0.753235838466677,0.796893514461324,0.705696372910569,0.590697262784695,0.369415382071143,0.244333721500211,0.269975187011452,0.578692646943311,67.26,0.509553920176783,"中國國民黨",0.796893514461324,"ref10"
"18","臺南市","下營區",0.78675862610871,0.751882829727156,0.761525663128018,0.757100531364511,0.702397097540743,0.627416559852947,0.590325722164888,0.330492879485165,0.348459015169327,0.588163586619032,42.59,0.490355419792972,"民主進步黨",0.78675862610871,"ref7"
"19","雲林縣","口湖鄉",0.788265804024907,0.750509015757359,0.744643149749762,0.795501031875878,0.69792391365241,0.606978616422272,0.542476286212674,0.282086558049391,0.295563178877316,0.605464689599122,53.85,0.506916142973817,"中國國民黨",0.795501031875878,"ref10"
"20","新北市","土城區",0.778354442425103,0.760779853127996,0.771600023521318,0.698251070131633,0.647599672126401,0.594872943707944,0.466366933384082,0.352450748422301,0.362891327718934,0.592065013127255,56.15,0.474435390083544,"中國國民黨",0.778354442425103,"ref7"
"21","雲林縣","土庫鎮",0.783985915598701,0.745978336121794,0.756858963315813,0.75887503978983,0.685709281176528,0.592428568758507,0.498786058342669,0.300909240257044,0.327910482586451,0.591043199853183,58.4,0.485103079368632,"中國國民黨",0.783985915598701,"ref7"
"22","臺北市","士林區",0.752998104217411,0.733350342646789,0.747009341152911,0.659302028676921,0.622450677685668,0.589188485915543,0.476472999762736,0.385990811383436,0.395623654871272,0.568016082062751,41.21,0.426402925208204,"無",0.752998104217411,"ref7"
